,K=1,K=2,K=3,K=4,K=5,K=6,K=7,K=8,K=9
1,162,602,1055,1887,2092,2815,3618,4565,5476
2,162,602,1055,1887,2092,2815,3618,4565,NA
3,162,602,1055,1887,2092,2815,3618,4565,NA
4,162,602,1055,1887,2092,2815,3618,5314,NA
5,162,602,1055,1887,2092,2815,3618,5314,NA
6,162,602,1055,1887,2092,2815,3618,4880,NA
7,162,602,1055,1887,2092,2815,4403,NA,NA
8,162,602,1055,1887,2092,2815,4403,NA,NA
9,162,602,1055,1887,2092,3456,4403,NA,NA
10,162,602,1055,1887,2092,3456,4403,NA,NA
11,162,602,1055,1887,2653,3456,4403,NA,NA
12,162,602,1055,1887,2653,3456,4874,NA,NA
13,162,602,1055,1930,2653,3456,4874,NA,NA
14,162,602,1055,1930,2653,3456,4874,NA,NA
15,162,602,1725,1930,2653,3456,4874,NA,NA
16,162,602,1725,1930,2653,3963,4427,NA,NA
17,162,893,1725,1930,2653,3963,4427,NA,NA
18,162,893,1725,1930,2653,3963,4427,NA,NA
19,440,893,1725,1930,2653,3963,3735,NA,NA
20,440,893,1725,1930,3016,3963,3735,NA,NA
21,440,893,1725,1930,3016,3963,4439,NA,NA
22,440,893,1725,1930,3016,4421,NA,NA,NA
23,440,893,1725,1930,3016,4421,NA,NA,NA
24,440,893,1725,2213,3016,4421,NA,NA,NA
25,440,893,1725,2213,3016,4421,NA,NA,NA
26,440,893,1725,2213,3016,4421,NA,NA,NA
27,440,893,1725,2213,3016,3595,NA,NA,NA
28,440,893,1490,2213,3510,3595,NA,NA,NA
29,440,893,1490,2213,3510,3595,NA,NA,NA
30,440,893,1490,2213,3510,3595,NA,NA,NA
31,440,893,1490,2213,3510,3530,NA,NA,NA
32,440,1285,1490,2213,3510,3530,NA,NA,NA
33,440,1285,1490,2213,3510,3530,NA,NA,NA
34,440,1285,1490,2563,3510,3716,NA,NA,NA
35,440,1285,1490,2563,3589,3716,NA,NA,NA
36,453,1285,1490,2563,3589,3108,NA,NA,NA
37,453,1285,1490,2563,3589,NA,NA,NA,NA
38,453,1285,1490,2563,3589,NA,NA,NA,NA
