,K=1,K=2,K=3,K=4,K=5,K=6,K=7,K=8,K=9,K=10,K=11,K=12,K=13,K=14,K=15,K=16
1,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162
2,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162
3,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162
4,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,602
5,162,162,162,162,162,162,162,162,162,162,162,162,162,162,602,602
6,162,162,162,162,162,162,162,162,162,162,162,162,162,602,602,1055
7,162,162,162,162,162,162,162,162,162,162,162,162,602,602,602,NA
8,162,162,162,162,162,162,162,162,162,162,162,602,602,602,1055,NA
9,162,162,162,162,162,162,162,162,162,162,602,602,602,602,1055,NA
10,162,162,162,162,162,162,162,162,162,602,602,602,602,1055,NA,NA
11,162,162,162,162,162,162,162,162,602,602,602,602,602,1055,NA,NA
12,162,162,162,162,162,162,162,602,602,602,602,602,1055,1055,NA,NA
13,162,162,162,162,162,162,602,602,602,602,602,602,1055,1887,NA,NA
14,162,162,162,162,162,602,602,602,602,602,602,1055,1055,1887,NA,NA
15,162,162,162,162,602,602,602,602,602,602,602,1055,1055,2092,NA,NA
16,162,162,162,602,602,602,602,602,602,602,1055,1055,1887,NA,NA,NA
17,162,162,602,602,602,602,602,602,602,602,1055,1055,1887,NA,NA,NA
18,162,602,602,602,602,602,602,602,602,1055,1055,1055,1887,NA,NA,NA
19,602,602,602,602,602,602,602,602,602,1055,1055,1887,2092,NA,NA,NA
20,602,602,602,602,602,602,602,602,1055,1055,1055,1887,2092,NA,NA,NA
21,602,602,602,602,602,602,602,602,1055,1055,1055,1887,NA,NA,NA,NA
22,602,602,602,602,602,602,602,1055,1055,1055,1887,1887,NA,NA,NA,NA
23,602,602,602,602,602,602,602,1055,1055,1055,1887,2092,NA,NA,NA,NA
24,602,602,602,602,602,602,1055,1055,1055,1055,1887,2092,NA,NA,NA,NA
25,602,602,602,602,602,602,1055,1055,1055,1887,1887,2092,NA,NA,NA,NA
26,602,602,602,602,602,1055,1055,1055,1055,1887,1887,NA,NA,NA,NA,NA
27,602,602,602,602,602,1055,1055,1055,1055,1887,2092,NA,NA,NA,NA,NA
