,K=1,K=2,K=3,K=4,K=5,K=6,K=7,K=8,K=9,K=10,K=11,K=12,K=13,K=14,K=15,K=16,K=17,K=18
1,162,602,1055,1887,2092,2815,3618,4565,5476,5482,5622,6531,6726,8766,10845,11067,11333,11902
2,440,893,1725,1930,2653,3456,4403,5314,5320,5460,6369,6564,8604,10683,10905,11171,11740,NA
3,453,1285,1490,2213,3016,3963,4874,4880,5020,5929,6124,8164,10243,10465,10731,11300,NA,NA
4,832,1037,1760,2563,3510,4421,4427,4567,5476,5671,7711,9790,10012,10278,10847,NA,NA,NA
5,205,928,1731,2678,3589,3595,3735,4644,4839,6879,8958,9180,9446,10015,NA,NA,NA,NA
6,723,1526,2473,3384,3390,3530,4439,4634,6674,8753,8975,9241,9810,NA,NA,NA,NA,NA
7,803,1750,2661,2667,2807,3716,3911,5951,8030,8252,8518,9087,NA,NA,NA,NA,NA,NA
8,947,1858,1864,2004,2913,3108,5148,7227,7449,7715,8284,NA,NA,NA,NA,NA,NA,NA
9,911,917,1057,1966,2161,4201,6280,6502,6768,7337,NA,NA,NA,NA,NA,NA,NA,NA
10,6,146,1055,1250,3290,5369,5591,5857,6426,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,140,1049,1244,3284,5363,5585,5851,6420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,909,1104,3144,5223,5445,5711,6280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,195,2235,4314,4536,4802,5371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,2040,4119,4341,4607,5176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,2079,2301,2567,3136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,222,488,1057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,266,835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
