"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",162,440,453,832,205,723,803,947,911,6,140,909,195,2040,2079,222,266,569
"2",602,893,1285,1037,928,1526,1750,1858,917,146,1049,1104,2235,4119,2301,488,835,NA
"3",1055,1725,1490,1760,1731,2473,2661,1864,1057,1055,1244,3144,4314,4341,2567,1057,NA,NA
"4",1887,1930,2213,2563,2678,3384,2667,2004,1966,1250,3284,5223,4536,4607,3136,NA,NA,NA
"5",2092,2653,3016,3510,3589,3390,2807,2913,2161,3290,5363,5445,4802,5176,NA,NA,NA,NA
"6",2815,3456,3963,4421,3595,3530,3716,3108,4201,5369,5585,5711,5371,NA,NA,NA,NA,NA
"7",3618,4403,4874,4427,3735,4439,3911,5148,6280,5591,5851,6280,NA,NA,NA,NA,NA,NA
"8",4565,5314,4880,4567,4644,4634,5951,7227,6502,5857,6420,NA,NA,NA,NA,NA,NA,NA
"9",5476,5320,5020,5476,4839,6674,8030,7449,6768,6426,NA,NA,NA,NA,NA,NA,NA,NA
"10",5482,5460,5929,5671,6879,8753,8252,7715,7337,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",5622,6369,6124,7711,8958,8975,8518,8284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",6531,6564,8164,9790,9180,9241,9087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",6726,8604,10243,10012,9446,9810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",8766,10683,10465,10278,10015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",10845,10905,10731,10847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",11067,11171,11300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",11333,11740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",11902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
