"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",85,454,838,1162,1178,1791,2207,2970,3450,3455,3527,3538,3642,5276,6334,6496,6671,6959
"2",85,454,838,1162,1178,1791,2207,2970,3450,3455,3527,3538,3642,5276,6334,6496,6671,NA
"3",85,454,838,1162,1178,1791,2207,2970,3450,3455,3527,3538,3642,5276,6334,6496,NA,NA
"4",85,454,838,1162,1178,1791,2207,2970,3450,3455,3527,3538,3642,5276,6334,NA,NA,NA
"5",85,454,838,1162,1178,1791,2207,2970,3450,3455,3527,3538,3642,5276,NA,NA,NA,NA
"6",85,454,838,1162,1178,1791,2207,2970,3450,3455,3527,3538,3642,NA,NA,NA,NA,NA
"7",85,454,838,1162,1178,1791,2207,2970,3450,3455,3527,3538,NA,NA,NA,NA,NA,NA
"8",85,454,838,1162,1178,1791,2207,2970,3450,3455,3527,NA,NA,NA,NA,NA,NA,NA
"9",85,454,838,1162,1178,1791,2207,2970,3450,3455,NA,NA,NA,NA,NA,NA,NA,NA
"10",85,454,838,1162,1178,1791,2207,2970,3450,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",85,454,838,1162,1178,1791,2207,2970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",85,454,838,1162,1178,1791,2207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",85,454,838,1162,1178,1791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",85,454,838,1162,1178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",85,454,838,1162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",85,454,838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",85,454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
